precision,recall,f1,sensitivity,specificity,balanced_accuracy,accuracy,kappa,TP,TN,FP,FN,basin,model,year,eval_file,val_file
0.9837719336809312,0.952067869106339,0.9676602859778598,0.952067869106339,0.7521846642722075,0.8521262666892733,0.9401553863419794,0.5685231793733467,1342648,67225,22148,67596,LYMC,V1,2023,20230601_175028_SCA.tif,ASO_Tuolumne_2023Jun01-02_snowdepth_3m_V2.tif
0.9427485577097277,0.9962271375240634,0.9687503555209428,0.9962271375240634,0.0454433580202716,0.5208352477721675,0.9395587579289748,0.0717406725164658,1405014,4062,85324,5321,LYMC,V2,2023,20230601_175028_SCA.tif,ASO_Tuolumne_2023Jun01-02_snowdepth_3m_V2.tif
0.976553133867504,0.3796687559205617,0.5467640895897058,0.3796687559205617,0.8290896517037596,0.6043792038121607,0.4024255723965659,0.0324919620811638,679347,79125,16311,1109968,DLNY,V1,2023,20230601_175109_SCA.tif,ASO_Tuolumne_2023Jun01-02_snowdepth_3m_V2.tif
0.954338202910602,0.9954385823726524,0.9744552042877924,0.9954385823726524,0.1071252710871774,0.5512819267299149,0.9504532299097254,0.1660007094509108,1781194,10225,85224,8162,DLNY,V2,2023,20230601_175109_SCA.tif,ASO_Tuolumne_2023Jun01-02_snowdepth_3m_V2.tif
0.9817391451716776,0.5910965875609364,0.737906249850724,0.5910965875609364,0.8263672071709135,0.7087318973659249,0.6051071241358877,0.105867273042958,463428,41025,8620,320586,BUDD,V1,2023,20230601_175109_SCA.tif,ASO_Tuolumne_2023Jun01-02_snowdepth_3m_binary.tif
0.9451441485462986,0.9868092959898576,0.9655274400878052,0.9868092959898576,0.0955143311781175,0.5411618135839876,0.9337314857907792,0.122150182001948,773695,4742,44905,10342,BUDD,V2,2023,20230601_175109_SCA.tif,ASO_Tuolumne_2023Jun01-02_snowdepth_3m_binary.tif
0.8176887612594927,0.5797747536367902,0.6784796813045663,0.5797747536367902,0.8032212270447466,0.6914979903407684,0.6683639610362336,0.3556026816547912,291578,265361,65010,211338,BUDD,V1,2022,20220519_174722_SCA.tif,ASO_Tuolumne_2022May18_snowdepth_3m_binary.tif
0.6043104631281456,0.9716539314764604,0.7451699281291708,0.9716539314764604,0.0319252546761197,0.5017895930762901,0.5989835477231181,0.0042535201863809,488808,10555,320061,14260,BUDD,V2,2022,20220519_174722_SCA.tif,ASO_Tuolumne_2022May18_snowdepth_3m_binary.tif
0.8387738541388989,0.8506384822727743,0.8446645059669263,0.8506384822727743,0.7512068381445544,0.8009226602086643,0.811206644244102,0.6040738255428968,427929,248361,82255,75139,BUDD,V5,2022,20220519_181736_SCA.tif,ASO_Tuolumne_2022May18_snowdepth_3m_binary.tif
0.8646023235995297,0.6455196908895784,0.7391691788046643,0.6455196908895784,0.8471161078342109,0.7463178993618946,0.7257612927310544,0.4534583632386504,320598,278187,50206,176053,BUDD,V6,2022,20220519_181736_SCA.tif,ASO_Tuolumne_2022May18_snowdepth_3m_binary.tif
0.8497532206270071,0.6763393700709093,0.7531935630350755,0.6763393700709093,0.8175461809485948,0.746942775509752,0.7322468321730584,0.46714406195243274,340033,269397,60122,162722,BUDD,V7,2022,20220519_181736_SCA.tif,ASO_Tuolumne_2022May18_snowdepth_3m_binary.tif
